judul_proposal,deskripsi
GANESHA HEJO: Program Pengelolaan Sampah Terintegrasi di Kawasan Ganesha,software engineering
Aplikasi Smart Metering System untuk Implementasi Green IT,enterprise computing
Framework Implementasi Nilai Teknologi Informasi pada Industri Kecil Menengah di Indonesia untuk Peningkatan Keunggulan Bersaing,intelligent system
Open-Enterprise Resource Planning untuk Peningkatan Keunggulan Industri Kecil dan Menengah,enterprise computing
Pemanfaatan TIK untuk Peningkatan Industri Kecil Menengah bidang Pariwisata melalui Intelligent Tourism Center System,software engineering
Pemanfaatan Open-Source ERP untuk meningkatkan Kemampuan UKM,information management
Pemanfaatan Jejaring Sosial Facebook dan Media Dropbox Untuk Pendidikan dan Pengajaran di Sekolah,software engineering
Aplikasi Cerdas Manajemen Keuangan Untuk UKM Berbasis Cloud,information management
Penerapan Virtual Classbox untuk Mendukung Online Lesson Study di Cianjur - Jawa Barat,software engineering
Pengembangan Repositori Dokumen Untuk Pendukung Pelaksanaan E-Government,graphics and visualization
Pengembangan Massive Open Online Course (MOOC) untuk Peningkatan Kualitas Pendidikan Indonesia,enterprise computing
PENGEMBANGAN ALGORITMA FRAGILE WATERMARKING UNTUK OTENTIKASI CITRA DIGITAL,sistem komputer
CETAK BIRU KATALOG SISTEM LAYANAN DAN ENTERPRISE SERVICE BUS UNTUK PERUSAHAAN KECIL MENENGAH SEKTOR JASA KEUANGAN,sistem komputer
Fluid Shader untuk Rendering Simulasi Fluida pada Mobile GPU,intelligent system
"E-rINA, Framework Inovatif pada Akses Jaringan Informasi untuk Layanan Kelas Virtual Real-Time di Daerah Rural (E-rINA, An Innovative Framework of Information Network Access for Real-Time Virtual Class Service in Rural Area)",graphics and visualization
Pengembangan Recommender System berbasis pada Kebutuhan Fungsional Pengguna,software engineering
Sistem Pengenalan Buah Otomatis (Automatic Fruit Recognition System),intelligent system
Pengembangan Framework  untuk Aplikasi Mobile Pencegah Perdagangan Anak,information management
Pembangkitan Pertanyaan untuk Sistem Tanya Jawab Medis dalam bahasa Indonesia,intelligent system
Sistem Informasi Adaptif untuk Perguruan Tinggi Berbasis Top-down Design dan Bottom-up Implementation,software engineering
SINTESIS EKSPRESI WAJAH UNTUK  TALKING AVATAR PADA SISTEM CHATBOT,intelligent system
Pengembangan Platform Portaudio DSP untuk Aplikasi Komunikasi Suara Aman Bebas Sadap,enterprise computing
Pembangunan Unified Knowledge Representation  pada Knowledge-based System,enterprise computing
Sistem Enterprise Resource Planning ODoo untuk Peningkatan Keunggulan Industri Kecil & Menengah,information management
Pembuatan Prototype Service-Based Enterprise Resource Planning (Service-Based ERP) untuk Industri Kecil dan Menengah,intelligent system
Pengembangan Sistem Data Terbuka Guna Mendukung Peningkatan Keunggulan dan Keberlanjutan UMKM,software engineering
Penerapan Teknologi Process Mining untuk Memperbaiki Kinerja dan Efisiensi Bisnis Proses (Studi Kasus: Sistem Pengelolaan Sumber Daya),software engineering
Penerapan Teacher Portal untuk Peningkatan Literasi Internet bagi Komunitas Guru Sekolah Dasar di Cianjur Jawa Barat,sistem komputer
Sistem Benchmarking untuk Mengukur Kinerja  Implementasi E-Government,social and professional issue
Platform Penjaminan Kualitas Layanan Voice over IP Terenkripsi dengan Metode Alokasi Ketersediaan Bandwidth pada Jaringan Berkapasitas Terbatas,information management
Pemanfaatan Social Media Marketing untuk UKM Boneka di Kota Bandung,software engineering
Implementasi Sistem Informasi dan Manajemen Pembelajaran untuk Guru (SIMAP) dan Pemberdayaan Guru di Cianjur - Jawa Barat,software engineering
PENGEMBANGAN TRUCK-SHARING SYSTEM PADA START UP SMART MOBILITY,intelligent system
Pengembangan Sistem Self-Adaptive untuk Penyediaan Layanan Perguruan Tinggi Secara Berkelanjutan,intelligent system
Pengembangan Sistem Tanya Jawab Berbasis Bahasa Alami untuk Aplikasi Kesehatan di Puskesmas,intelligent system
Pembangunan Sistem Informasi Akuntansi Cerdas menggunakan Natural Language  dan Struktur Dinamis,software engineering
Otomatisasi Pengenalan Buah dan Sayur di Supermarket berbasis Depth Sensor,intelligent system
Pengembangan Aplikasi Ponsel Cerdas Berbasis Moodle untuk Pembelajaran Online  di Perguruan Tinggi,software engineering
Penggabungan Sumber Informasi Terstruktur dan Tidak Terstruktur dalam Chatbot Bahasa Indonesia,graphics and visualization
Development of Question Answering System for Treatment of Baby Blues Syndrome in Public Health Center,intelligent system
Multi-view Object Recognition based on Shape Association,information management
Development of Intelligence Accounting Information based on Natural Language and Dynamic Structure,software engineering
Geospatial Analytical Search Engine: Performing Extraction and Retrieval of Thematic Maps from Web Sources,graphics and visualization
Penerapan Learning Management System (LMS) berbasis Mobile dengan Teknologi Multimedia untuk Pembelajaran di Sekolah Pedesaan,intelligent system
Normalisasi Lembar Teks Dokumen Dengan Teknik Remapping Image untuk Scanner dengan Camera Android,intelligent system
DECISION SUPPORT SYSTEM TO DETERMINE THE TRACK OPTIONS FOR INSTALLATION OF GAS DISTRIBUTION PIPE BETWEEN SUPPLIER AND DISTRIBUTION POINT,graphics and visualization
Pembangunan Chatbot Bahasa Indonesia untuk Alat Bantu Pembelajaran Bahasa Inggris,sistem komputer
Sistem Interpretasi Visual (Studi Kasus: Pengenalan Objek Buah-Buahan),intelligent system
Sistem Internet of Things dengan Algoritma Peningkatan Efisiensi Daya Sensor,graphics and visualization
Deteksi Kalimat Ofensif dalam Ucapan dan Teks Berbahasa Indonesia Menggunakan Pembelajaran Mesin,information management
Visualisasi Data dan Program untuk Pendukung Kualitas Perangkat Lunak pada Metodologi Situational Method Software Engineering,sistem komputer
Metode Akses Langsung Berbasis Konten Pada Basis Data Non-Alfanumerik,intelligent system
Distributed Digital Learning,software engineering
Pengembangan Prototip Mesin Inferensi Pengetahuan Spasial : studi kasus pengenalan tulisan tangan secara sintaktis,sistem komputer
Pembangunan Prototipe Sistem TIK Untuk Mencari Informasi dan Memasarkan Produk Lokal Unggulan.,social and professional issue
SISTEM MONITORING DENGAN EMBEDDED LINUX,enterprise computing
Peningkatan Kualitas Pendidikan Dasar di Jawa Barat melalui Pemanfaatan Teknologi Informasi dan Komunikasi,software engineering
Desa Cerdas Berbasis Rural-ICT,sistem komputer
Model dan Sistem Pembelajaran dalam Kelas Virtual dengan Bandwith Rendah,intelligent system
Sistem Konferensi Multimedia Berbasis Web untuk Pembelajaran Digital Sekolah Dasar di Pedesaan,sistem komputer
Pembangkitan Ringkasan Secara Otomatis untuk Survey Paper,software engineering
"Rancang Bangun Mini ATCS (Air Traffic Control System), Sarana Pemanduan Lalu-lintas Udara untuk Bandara Kelas Menengah",information management
Penerapan dan Implementasi PSS Akses Informasi/Multimedia untuk Komunitas Masyarakat Belajar,software engineering
Peningkatan Kesejahteraan Petani dengan Penerapan Sistem Informasi Agribisnis,information management
Teknologi Digital Learning untuk Daerah Pedesaan,intelligent system
Disaster Management Information System,information management
Jaringan Sensor Intelejen Untuk Pemantauan Gempa Bumi Berbasis Swarm Optimization,intelligent system
Pembangunan Repository Bahasa-Bahasa Daerah Nusantara Dengan Menggunakan Teknologi WEB Semantik,graphics and visualization
Pembangkitan Ringkasan Secara Otomatis untuk Survey Paper - Penelitian Lanjutan 2011,information management
Pembuatan dan Pengembangan Purwa Rupa Sistem Web Identifikasi Sidik Jari Berbasis Pencarian Makna / Semantik (Searching by Content) Berbantukan Teknologi Open Source Untuk Mendukung Program Nasional Identitas Tunggal (e-KTP),intelligent system
Kajian dan Implementasi Sistem Pengenalan Tulisan Tangan berbasis relasi spasial,intelligent system
Sistem Cerdas untuk Promosi Produk Kerajinan UMKM,sistem komputer
Analisis Sentimen Real Time pada Microblogging,sistem komputer
Sistem Laboratorium Bahasa Multimedia yang Murah berbasis Thin Client Computing,graphics and visualization
Pengembangan Sistem Manajemen Bandwidth Berbasis Web untuk Mendukung Layanan Digital Learning Pedesaan,information management
"Rancangan Dasar Sistem Biometrik Berbasis  Pengenalan Sidik Jari, Wajah, dan Suara",algoritma dan pemrograman
Genomic Data Mining Untuk  Prediksi Resiko Penyakit Kompleks Dalam Rangka Menunjang Personalized Medicine,software engineering
PENGEMBANGAN BEBERAPA ALGORITMA ENKRIPSI SELEKTIF UNTUK CITRA DIGITAL  DENGAN MENGGUNAKAN FUNGSI CHAOS,algoritma dan pemrograman
Pengembangan Sistem Interaktif untuk Peringkasan Multi Paper,intelligent system
Algoritma Resampling Baru dan Konsep Partikel Fleksibel pada Filter Partikel untuk Penentuan Lokasi pada Robot Wahana Gerak Mandiri,software engineering
Pembangkitan Peta Penelitian Otomatis dari Kumpulan Makalah Ilmiah,intelligent system
Pengembangan Sistem Perangkat Lunak Pemilahan Frekuensi Napas untuk Diagnosis Penyakit Paru dan Saluran Pernapasan,information management
Pengembangan Sistem Peringkasan Progresif Otomatis untuk Kumpulan Makalah Ilmiah,software engineering
Pengembangan Metode Berbasis Valid Database Untuk Penanganan Data Hilang Dalam Proses  Ekstraksi Struktur Bayesian Network Dari Data,social and professional issue
"Penerapan Smart Gateway untuk  Mendukung Komunitas Guru Belajar (KGB) di Bandung, Cianjur, dan SubangJawa Barat",enterprise computing
Pemberdayaan Komunitas Guru di Cianjur untuk Mendukung Gerakan Guru Melek Internet (GGMI),intelligent system
Pemanfaatan Media Sosial untuk Peningkatan Usaha bagi Start-Up Company,intelligent system
Pembangkitan Peta Penelitian Otomatis  dari Kumpulan Makalah Ilmiah - Penelitian Lanjutan 2014,sistem komputer
Pengembangan Sistem untuk Prediksi Kredibilitas Informasi dari Jejaring Sosial Online,graphics and visualization
Pengembangan Model Adopsi Cloud Computing untuk Perguruan Tinggi,information management
BIOMETRIKA - APPLICATION FRAMEWORK MODEL UNTUK EVALUASI METODE-METODE BIOMETRIK,information management
Sequential Pattern sebagai Fitur Pengelompokan Dokumen(Document Clustering) untuk Analis Dokumen Pada Kasus BigData,intelligent system
Manajemen Inormasi 'Unpredictable' pada Basisdata Spatio Temporal Kasus Tanggap Darurat Kebencanaan Indonesia,intelligent system
Pendeteksi Plagiarisme Cerdas untuk Karya Ilmiah Multibahasa (Indonesia dan Inggris),software engineering
Peringkasan Terpandu Otomatis untuk Aggregator Berita Bahasa Indonesia,information management
Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile Untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat,graphics and visualization
Sequential Pattern sebagai Fitur Pengelompokan Dokumen untuk Analisis Dokumen Pada Kasus BigData (Document Clustering based on Sequential Pattern for Document Analysis in Bigdata),intelligent system
Biometrika - Application Framework Model untuk Evaluasi Metode-Metode Biometrik,intelligent system
Pembentukan Model Sistem Cerdas untuk Online Monitoring System Diesel Engine Ukuran Besar,intelligent system
Pengembangan Sistem Peringkasan Opini,enterprise computing
Peringkasan Otomatis Informasi Pelengkap Berita Berbahasa Indonesia dari Media Sosial,enterprise computing
Pemanfaatan Social Media Marketing untuk Sentra Industri Rajutan Binongjati,intelligent system
PEMANFAATAN ELECTRONIC MARKETPLACE DI INDONESIA UNTUK MENINGKATKAN JANGKAUAN PASAR UKM  DIKOTA CIMAHI,intelligent system
Pengembangan Sistem Peringkasan Opini (Lanjutan Tahun Kedua),sistem komputer
Pembangkitan Otomatis Liputan Berita Waktu Nyata dengan Peringkasan Timeline (Generating Live Report Automatically Using Timeline Summarization),software engineering
Penerapan Sistem Kelas Virtual Multimedia Berbasis Teknologi WebRTC untuk Pembelajaran Digital di Sekolah Dasar Pedesaan di Cianjur Jawa Barat,graphics and visualization
PEMBANGUNAN APLIKASI KNOWLEDGE MANAGEMENT ONLINE MONITORING SYSTEM DIESEL ENGINE UKURAN BESAR,software engineering
Pengembangan Sistem Parkir Berbasis Mesin Vision,sistem komputer
Pengembangan Mesin Penerjemah Teks Bahasa Sunda ke dalam Bahasa Indonesia Menggunakan Metode Berbasis Hybrid,software engineering
Teknologi Konferensi Multimedia untuk Sekolah Pedesaan dengan Bandwidth Internet Terbatas,software engineering
Proposal P3MI KK Rekayasa Perangkat Lunak dan Pengetahuan,software engineering
Pengembangan Simulasi Animasi Menggunakan Teknik Animasi Diferensial,graphics and visualization
BotBerita: Pembangkit Artikel Berita Otomatis sebagai Pendukung Jurnalis (BotBerita: News Writing Bot for Supporting Journalist),intelligent system
Konsultan Penyusunan Rencana Strategis Teknologi Informasi (IT Strategic Plan) dan Rencana Kelangsungan Usaha (Business Continuity Plan),enterprise computing
Pengadaan Jasa Konsultan Bidang Data Center Tim Network Services Enhancement ,information management
"Jasa Konsultansi Untuk ICT Master Plan, Kebijakan ICT dan WO Aplikasi ",information management
Jasa Penyusunan Disaster Recovery Planning (DRP) PT. Pertamina Hulu Energi ,enterprise computing
"Pengadaan Jasa Assessment Perangkat Network, Link Komunikasi dan Colocation Data Center ",sistem komputer
Pengadaan Pengembangan Aplikasi Online Program Kemitraan (PKBL Online) ,software engineering
Pengembangan Cyber Weapon System,sistem komputer
Pembuatan Sistem dan Aplikasi e-Nelayan,software engineering
Pelatihan Teknik Deteksi Penyembunyian Data pada Multimedia Digital pada Lembaga Sandi Negara Tahun Anggaran 2015,information management
Jasa Konsultansi Solusi Integrasi Sistem Bea-Cukai Dengan Inaportnet PT. Pelabuhan Indonesia II (Persero) ,enterprise computing
Pendampingan Pengadaan dan Implementasi Basic Crane Simulator PT. Pelabuhan Indonesia II (Persero),software engineering
Pengadaan Konsultan Independen untuk Kajian dan Pendapatan atas Harga Pembelian 2 (dua) Host Computer ,enterprise computing
Tambahan Jasa Assesment Capacity Planning Hardware Core Banking Server 2015-2017,hardware
Konsultansi Desain Data Center dan Pendampingan Pengadaan Teknologi Informasi Lemhannas RI ,information management
"Studi Kelayakan (Feasibility Study) Pengembangan Marine Operating System (MOS), Pendampingan Pengadaan dan Pembangunan MOS di Pelabuhan Tanjung Priok ",enterprise computing
Jasa Assesment Capacity Planning Hardware Core Banking AS-400,hardware
Parking Management Prototyping,software engineering
Preliminary a Master Plan for Bandung ITS,enterprise computing
Software-Xmart Village Stage 2 (Pembuatan Aplikasi Perangkat Lunak Smart Village) ,software engineering
  Consultant to Conduct The Digital Birth Registration Feasibility Study and To Undertake Duties and Responsibilities   ,enterprise computing
Pengadaan Jasa Konsultan Uji Utilitas Perangkat ICT,software engineering
Pengadaan Jasa Konsultansi Pengembangan Tata Kelola Teknologi Informasi Perusahaan Umum (PERUM) Jaminan Kredit Indonesia,enterprise computing
Pengembangan Tata Kelola TI ,enterprise computing
Assessment Tata Kelola Tehnologi Informasi PT. Indonesia Power,enterprise computing
Kajian Stratejik Pengembangan Bisnis dan Layanan Maritime Broadband di Indonesia,sistem komputer
Jasa Konsultansi Audit Teknologi Informasi Lemhannas RI TA 2014,enterprise computing
Jasa Konsultansi Pengembangan IT Master Plan Lemhannas RI Tahun 2014-2019,enterprise computing
Jasa Konsultansi Standarisasi Autogate System Terminal Petikemas ,enterprise computing
"GAP Analysis dan Recommendation, Feasibility Study, Project Monitoring dan Quality Assurance Enhancement Simulator Crane PT. Pelabuhan Indonesia II (Persero)",software engineering
Pengadaan Jasa Assesment Hardware Core Banking Server 2015 - 2017,hardware
Workshop IT Audit dan IT Masterplan Lemhanas ,enterprise computing
  Pengadaan Perangkat Sistem Cyber Weapon Tahap II Lembaga Sandi Negara Tahun Anggaran 2014  ,enterprise computing
Software: Smart Village Project With ITB ,software engineering
"Facilitation support to the ICT Cloud  Research, Facilitation support to the Energy Management Research",sistem komputer
Pengadaan Riset Smart City 2014,enterprise computing
  Technology Evaluation Report of Community Cloud  ,sistem komputer
Pengadaan Program Pembangunan Enterprise Architecture (EA) Proses Bisnis Utama SKK Migas Tahap I Tahun 2014,enterprise computing
"Konsultan Pengawas Pekerjaan Data Center, Mesin Core System, Jaringan Komunikasi dan Pengembangan Aplikasi Inti ",enterprise computing
Penyusunan Master Plan Teknologi Informasi RSUP Dr. Hasan Sadikin Bandung ,enterprise computing
Jasa Konsultan Perencana dan Pengawas System Smart Card,enterprise computing
Penyusunan Kebijakan dan Standar Operating Prosedur (SOP) Teknologi Informasi (TI),information management
Jasa Konsultansi Pola Pengadaan Aplikasi Port Wide Solution Untuk Kebutuhan Operasional PT. Pelabuhan Indonesia II (Persero),enterprise computing
Jasa Pengadaan Konsultan Terkait Implementasi New Wave Business ,enterprise computing
Develop Dokumen IT Governance PT. Multi Terminal Indonesia,enterprise computing
Develop dokumen dan Design BCP dan DRP PT. Multi Terminal Indonesia,software engineering
Perancangan Teknis Perangkat Utama dan Perangkat Pendukung Data Center dan Disaster Recovery Center (Paket C.18),hardware
Jasa Konsultansi Evaluasi Sistem Teknologi Informasi Untuk Cabang Tanjung Perak PT. Pelabuhan Indonesia III (Persero) ,enterprise computing
Perbaikan dan Penyempurnaan Core Banking System PD BPR Bank Bantul ,enterprise computing
"Penyusunan, Pembuatan, Pengembangan dan Penyempurnaan Kebijakan Peraturan Direksi, Surat Edaran Direksi untuk Standard Operating Procedure (SOP) Operation Business Support Division (OBSD)",enterprise computing
Konsultan Master Plant IT,enterprise computing
Jasa Konsultasi Kajian Penyusunan Masterplan SCADA (Supervisory Control and Data Acquisition),information management
Konsultan Jasa IT Governance Refreshment dan Review,enterprise computing
Manajemen Proses Bisnis 10 s/d 13 September 2013,enterprise computing
Manajemen Proses Bisnis 26 s/d 28 November 2013 (Batch 2),enterprise computing
Pekerjaan Pembuatan dan Implementasi Enterprise Resource Planning (ERP)  PT. Perkebunan Nusantara X (Persero) ,enterprise computing
Jasa Konsultansi Studi Keandalan Kelistrikan Kota Jambi ,hardware
Jasa Konsultansi Studi Keandalan Kelistrikan Kota Bengkulu ,hardware
Jasa IT Security Vulnebrability Assesment (VA) Bank Jatim,sistem komputer
"Data Manage Service yang Meliputi Informasi Definisi, Approach dan Business Model dalam Manage Service ",information management
1 LO Assesment Sistem Perlindungan Petir ,hardware
"Analisa Layanan Bisnis BTS Hotel di Indonesia, meliputi (Financial, Teknologi, Trend dan Perda)",enterprise computing
Data Prospek dan Analisa Ku-Bank Bisnis Satelit di Indonesia ,information management
Pengadaan Jasa Konsultan TI / Pendampingan Untuk Pengembangan Sistem Informasi Terintegrasi / ERP Perkebunan ,enterprise computing
Pengadaan Jasa Migrasi Software Open Source (OSS) Tahap-2,software engineering
Market Behavior Research 2012 Bulanan April & Mei ,information management
Konsultan Market Behaviour Research (MBR) Tahun 2012,enterprise computing
Market Reserarch Untuk Data & Voice Service ,information management
Survey Demand Internet Broadband,sistem komputer
Improvement of Lightning Protection System at Company's Facilities - Balikpapan ,hardware
Competitive Intelligence PGASCOM ,enterprise computing
Penyusunan Business Impact Analysis (BIA) dan Business Continuity Plan (BCP) ,enterprise computing
Revisi Blue Print Untuk PT. Asabri (Persero) ,enterprise computing
Jasa Konsultan Penyusunan Business Contunity Plan (BCP) dan Disaster Recovery Plan (DRP) ,enterprise computing
Pengadaan Jasa Konsultasi Feasibility Study (FS) Lokasi Data Center 2,information management
Pengadaan Jasa Konsultansi Review SOP Teknologi Informasi ,information management
Pembelian Data Market Metro-E Semester I 2012,information management
Data Market Provider Broadband untuk Mobile Service dan Tingkat Kepuasan atas Layanan Data Internet ,sistem komputer
Kajian Improvement Aplikasi Information And Communication Technology (ICT) ,information management
Seleksi Tenaga Bidang Sistem Informasi ,information management
Inhouse Training Audit IT ,enterprise computing
Pelatihan Pranata Muda Pertama TI ,social and professional issue
Jasa Pelatihan COBIT (Control for Information and Related technology),information management
Jasa Pelatihan PKBL On-Line dan Modifikasi Minor Aplikasi PKBL On-Line (Pengadaan Jasa Transfer of Knowledge & Modifikasi Minor Aplikasi PKBL On-Line),software engineering
Lanjutan Kajian Data Center dan Disaster Recovery Center Teknologi Informasi di Bank Indonesia,enterprise computing
Mitigasi Permasalahan Power Quality Sistem Kelistrikan di Kaji ,hardware
Mitigasi Permasalahan Power Quality Sistem Kelistrikan di Semoga,hardware
Implementasi IT Governance,enterprise computing
Pengadaan Jasa Market Behavior Research Tahun 2011,enterprise computing
Penelitian dan Pengembangan Perangkat akuisisi data Odometer dan Pengiriman Melalui Jaringan Seluler,sistem komputer
Regulatory Impact Assessment,information management
Konsultan Evaluasi Kompetensi Bidang Telekomunikasi & Teknologi Informasi ,enterprise computing
CTG Lightning Protection Improvement CTG 101/102/103 Ecternal Lightning Protection ,hardware
"Supply, Implementation and Maintenance of GI DNS TOOLS (OSS) TTC Buaran & TBS",information management
Penyedian Material and Pengerjaan Perbaikan Proteksi Petir pada area PCV 406 dan PCV 505 (Supply Material and Perform Improvement of Lightning Prtection System at PCV 406 and PCV 505 Areas),hardware
Investigation and improvement Design of lightning Protection of Total E&P Indonesie Balikpapan,hardware
Jasa Pemeliharaan Arsitektur Sistem / Teknologi Sistem Informasi Di Lingkungan PT. Indonesia Power ,enterprise computing
Pengawasan Pengadaan dan Pemasangan Peralatan Tol Pada Jalan Tol Jakarta - Tangerang ,enterprise computing
Studi Kelayakan dan Design Engineering PLTMH Lembang Bakaru ,enterprise computing
Trouble Shoot Induksi Tegangan Pada Sistem Grounding dan Assessment Grounding System Sakernan Station ,hardware
"Penyusunan Roadmap Bisnis, Organisasi dan Tata Kelola (Governance) Card Business and Electronic Banking Desk ",enterprise computing
Jasa Konsultan Audit IT dan Up Date Masterplan IT Perum Perhutani ,enterprise computing
Jasa Evaluasi dan Desain Sistem Proteksi Petir di Area Kaji Office & Camp ,hardware
Jasa Evaluasi dan Desain Sistem Proteksi Petir di Area Kaji Station & Over Head Line ,hardware
Jasa Evaluasi dan Desain Sistem Proteksi Petir di Area Semoga Station & Over Head Line ,hardware
Jasa Evaluasi dan Desain Sistem Proteksi Petir di Area Kaji Satelit Station & Over Head Line ,hardware
Arrester Proteksi Petir ,hardware
Penyusunan Kebijakan Pengelolaan Keamanan Informasi ,information management
CTG Lightning Protection System Installation of Grounding & Installation of Arrester ,hardware
Material Supply for Grounding System of CTG-TPPI Tuban Lightning Protection Improvement,hardware
Analisa Kelayakan dan Perencanaan Lanjutan Serta Pengawasan Terhadap Stabilisasi Pengembangan Aplikasi Inti (INTANS),software engineering
Training EMC Based Lightning Protection System in Hazardous Area,hardware
Pekerjaan Penyusunan Pembaruan Rencana Induk Pelabuhan Ciwandan ,enterprise computing
Pengembangan Beberapa Alogaritma Enkripsi Selektif Untuk Citra Digital Dengan Menggunakan Fungsi Chaos,algoritma dan pemrograman
Conversational Recommender System berbasis Kebutuhan Fungsional Produk,intelligent system
Kendali Terdistribusi dengan Algoritma Konsensus pada Sekelompok Robot Humanoid,sistem komputer
Pembangkitan Peta Penelitian Otomatis dari kumpulan Makalah Ilmiah,intelligent system
Algoritma Resampling Baru dan Konsep Partikel Fleksibel pada Filter Partikel untuk Penentuan Lokasi pada Robot Wahana Gerak Mandiri,algoritma dan pemrograman
Pengembangan Metode Berbasis Valid Database untuk Pengangganan Data Hilang dalam Proses Ekstraksi Struktur Bayesian network dari Data,information management
Pengembangan Sistem Peringkasan Progresif Otomatis untuk Kumpulan Makalah Ilmiah,intelligent system
Digital Store Berbasis Contact Center Terintegrasi Untuk Penguatan UMKM di Indonesia,information management
Pengembangan Rekayasa kognitif dengan Studi Kasus Robot Kognitif Probabilistik,intelligent system
Pengembangan Smart Gateway untuk Mendukung Layanan Komunitas guru belajar di Pedesaan,intelligent system
Pemanfaatan Sequential Pattern pada Tahap Preprocessing Untuk Peningkatan Kinerja Proses Klasifikasi Data Dengan Struktur Kompleks & Progresif,information management
Integrasi Instrumentasi Medis dengan Sistem Manajemen DOTS Multimedia ntuk Mendukung Program Nasional Penanggulangan Tuberkolosis,information management
Pengembangan Rural Telepresence untuk Pembelajaran Jarak Jauh di Sekolah Pedesaan,sistem komputer
Pengembangan open Information Extraction (Open IE) untuk Pembangunan Basis,information management
Pengelolaan Data Spatio-Temporal (STATEM) untuk Kebencanaan di Indonesia,information management
Pengembangan Smart Gateway Untuk Mendukung Layanan Komunikasi Guru Belajar di Pedesaan,intelligent system
Integrasi Instrumentasi Medis dengan Sistem Manajemen DOTS Multimedia untuk Mendukung Program Nasional Penanggulangan Tuberkulosis,information management
Model Deteksi Kemacetan Berdasarkan Tingkat Kepadatan dan Kecepatan Kendaraan,intelligent system
"Pengembangan Perangkat Lunak Lunak Perisalah Rapat dengan Memanfaatkan Teknologi Pengenal Ucapan, Mesin Translasi, dan Peringkas Otomatis",intelligent system
Digital Store Berbasis ContactCenter Terintegrasi Untuk Penguatan UMKM di Indonesia,information management
Simulasi Risiko Penyebaran Api di Kawasan Pemukiman Padat Perkotaan Berbasis Model data Spatio-Temoral,information management
Pengembangan Aplikasi dan Konten Rencana Pelaksanaan Pembelajaran (RPP) pada Platform Android untuk Mendukung Pendidikan Nasional,software engineering
Sistem Pemahaman Konten Citra Digital dengan Metode Non Statistik,graphics and visualization
Pengembangan Model Indigenous Knowledge Management berbasis Teknologi Informasi,intelligent system
Desain dan Implementasi Sistem Komunikasi Multimedia Real-Time di Jaringan Internet Pedesaan,sistem komputer
Pengembangan Aplikasi Ponsel Cerdas Berbasis Moodle untuk Pembelajaran Online di Perguruan Tinggi,software engineering
Pengembangan Chatbot Berbahasa,intelligent system
Indonesia Peringkasan Terpandu Otomatis,intelligent system
Sistem Pengenalan Ucapan untuk Bahasa Indonesia,intelligent system
Impelmentasi Lokalisasi dan Pemetaan Serentak Berbasis Partikel Filter Terdistribusi pada Mobile Robot Pioneer,sistem komputer
Pengembangan Chatbot Berbahasa Indonesia,intelligent system
Peringkasan Terpandu Otomatis,intelligent system
kemitraan Dalam Pembuatan Proses Bisnis Sistem Informasi Rumah Sakit RSAB Harapan Kita,enterprise computing
Blackberry Academic Program License Agreement,social and professional issue
Power system disturbance suppresion by reactive power compensation,hardware
Kajian Pembiayaan Direct Charges Teknologi Informasi dan Komunikasi (TIK) Kontraktor Kontrak Kerja Sama (KKKS),social and professional issue
Pengembangan kemampuan Perangkat Lunak Perisalah Rapat Secara Real Time Dalam Bahasa Indonesia Milik PT Industri Telekomunikasi Indonesia (Persero),enterprise computing
Kegiatan Swakelola Implementasi Sistem Operasi Terpadu (SOT)Pengelolaan Sumber Daya Migas Tahap 3,sistem komputer
Research on Indonesian Social Media on Purchasing Behaviour,social and professional issue
Research Agreement between MarkAni Incorporated (KOREA) and Institut Teknologi Bandung,social and professional issue
Analisis dan Peningkatan Tata Kelola Keamanan Informasi,information management
Penyusunan Dokumen Masterplan Smart City Kota Magelang,enterprise computing
Implementasi Secure And Forensic Ready Transaction Network Di ITB,sistem komputer
Kajian Akademik Pengadaan Jasa Sewa Layanan Informasi Dan Komunikasi (INFOKOM) PT POS Indonesia (Persero),enterprise computing
Grand Design Data Center (DC) Dan DIsaster Recovery Center (DRC) Kerjasama Dengan ITB,information management
Program Pembangunan Sistem Informasi / Data Base Jalan Dan Jembatan Kota Semarang,information management
Rancang Bangun Basis Data Pegawai Untuk SIM Kepegawaian Dan Rancangan Interoperabilitas Data Rekam Medis Untuk Sistem Informasi Layanan,information management
"Kegiatan Swakelola Pemutakhiran Laporan Dan Sistem Pelaporan Sumberdaya, Cadangan Dan Perkiraan Profil Produksi",software engineering
"Letter of Cooperation Agreement Between Gloczus, Inc and School of Electrical Engineering and Informatics ITB",social and professional issue
Belanja Jasa Konsultansi Pembangunan / Pengembangan Aplikasi SKPD Tahun 2015,enterprise computing
"Kegiatan Swakelola Enterprise Architecture (EA), Enterprise PSC Data Architecture And Integration Berbasis Sevice Oriented Architecture (SOA)",enterprise computing
Kajian Business Intelligent dan Data Solution Sub Bidang Analisa dan Evaluasi Operasi Sistem,information management
Pengembangan Bisnis Proses Pelayanan Secara Elektronik (PSE) Pada BPMD-PTSP Kota Payakumbuh,enterprise computing
Belanja Jasa Konsultasi Software Aplikasi Pengembangan Platform Smart City Untuk Integrasi Data Dan Layanan,enterprise computing
