judul_proposal,deskripsi
Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile Untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat,enterprise computing
GANESHA HEJO: Program Pengelolaan Sampah Terintegrasi di Kawasan Ganesha,social and professional issue
Aplikasi Smart Metering System untuk Implementasi Green IT,social and professional issue
Framework Implementasi Nilai Teknologi Informasi pada Industri Kecil Menengah di Indonesia untuk Peningkatan Keunggulan Bersaing,enterprise computing
Open-Enterprise Resource Planning untuk Peningkatan Keunggulan Industri Kecil dan Menengah,enterprise computing
Pemanfaatan TIK untuk Peningkatan Industri Kecil Menengah bidang Pariwisata melalui Intelligent Tourism Center System,enterprise computing
Pemanfaatan Open-Source ERP untuk meningkatkan Kemampuan UKM,enterprise computing
Pemanfaatan Jejaring Sosial Facebook dan Media Dropbox Untuk Pendidikan dan Pengajaran di Sekolah,software engineering
Aplikasi Cerdas Manajemen Keuangan Untuk UKM Berbasis Cloud,enterprise computing
Penerapan Virtual Classbox untuk Mendukung Online Lesson Study di Cianjur - Jawa Barat,software engineering
Pengembangan Repositori Dokumen Untuk Pendukung Pelaksanaan E-Government,information management
Pengembangan Massive Open Online Course (MOOC) untuk Peningkatan Kualitas Pendidikan Indonesia,software engineering
PENGEMBANGAN ALGORITMA FRAGILE WATERMARKING UNTUK OTENTIKASI CITRA DIGITAL,graphics and visualization
CETAK BIRU KATALOG SISTEM LAYANAN DAN ENTERPRISE SERVICE BUS UNTUK PERUSAHAAN KECIL MENENGAH SEKTOR JASA KEUANGAN,enterprise computing
Fluid Shader untuk Rendering Simulasi Fluida pada Mobile GPU,graphics and visualization
"E-rINA, Framework Inovatif pada Akses Jaringan Informasi untuk Layanan Kelas Virtual Real-Time di Daerah Rural (E-rINA, An Innovative Framework of Information Network Access for Real-Time Virtual Class Service in Rural Area)",sistem komputer
Pengembangan Recommender System berbasis pada Kebutuhan Fungsional Pengguna,software engineering
Sistem Pengenalan Buah Otomatis (Automatic Fruit Recognition System),graphics and visualization
Pengembangan Framework  untuk Aplikasi Mobile Pencegah Perdagangan Anak,software engineering
Pembangkitan Pertanyaan untuk Sistem Tanya Jawab Medis dalam bahasa Indonesia,intelligent system
Sistem Informasi Adaptif untuk Perguruan Tinggi Berbasis Top-down Design dan Bottom-up Implementation,information management
SINTESIS EKSPRESI WAJAH UNTUK  TALKING AVATAR PADA SISTEM CHATBOT,intelligent system
Pengembangan Platform Portaudio DSP untuk Aplikasi Komunikasi Suara Aman Bebas Sadap,software engineering
Pembangunan Unified Knowledge Representation  pada Knowledge-based System,intelligent system
Sistem Enterprise Resource Planning ODoo untuk Peningkatan Keunggulan Industri Kecil & Menengah,enterprise computing
Pembuatan Prototype Service-Based Enterprise Resource Planning (Service-Based ERP) untuk Industri Kecil dan Menengah,enterprise computing
Pengembangan Sistem Data Terbuka Guna Mendukung Peningkatan Keunggulan dan Keberlanjutan UMKM,information management
Penerapan Teknologi Process Mining untuk Memperbaiki Kinerja dan Efisiensi Bisnis Proses (Studi Kasus: Sistem Pengelolaan Sumber Daya),information management
Penerapan Teacher Portal untuk Peningkatan Literasi Internet bagi Komunitas Guru Sekolah Dasar di Cianjur Jawa Barat,software engineering
Sistem Benchmarking untuk Mengukur Kinerja  Implementasi E-Government,software engineering
Platform Penjaminan Kualitas Layanan Voice over IP Terenkripsi dengan Metode Alokasi Ketersediaan Bandwidth pada Jaringan Berkapasitas Terbatas,sistem komputer
Pemanfaatan Social Media Marketing untuk UKM Boneka di Kota Bandung,enterprise computing
Implementasi Sistem Informasi dan Manajemen Pembelajaran untuk Guru (SIMAP) dan Pemberdayaan Guru di Cianjur - Jawa Barat,enterprise computing
PENGEMBANGAN TRUCK-SHARING SYSTEM PADA START UP SMART MOBILITY,software engineering
Pengembangan Sistem Self-Adaptive untuk Penyediaan Layanan Perguruan Tinggi Secara Berkelanjutan,software engineering
Pengembangan Sistem Tanya Jawab Berbasis Bahasa Alami untuk Aplikasi Kesehatan di Puskesmas,intelligent system
Pembangunan Sistem Informasi Akuntansi Cerdas menggunakan Natural Language  dan Struktur Dinamis,intelligent system
Otomatisasi Pengenalan Buah dan Sayur di Supermarket berbasis Depth Sensor,intelligent system
Pengembangan Aplikasi Ponsel Cerdas Berbasis Moodle untuk Pembelajaran Online  di Perguruan Tinggi,software engineering
Penggabungan Sumber Informasi Terstruktur dan Tidak Terstruktur dalam Chatbot Bahasa Indonesia,intelligent system
Development of Question Answering System for Treatment of Baby Blues Syndrome in Public Health Center,software engineering
Multi-view Object Recognition based on Shape Association,graphics and visualization
Development of Intelligence Accounting Information based on Natural Language and Dynamic Structure,intelligent system
Geospatial Analytical Search Engine: Performing Extraction and Retrieval of Thematic Maps from Web Sources,dasar matematika
Penerapan Learning Management System (LMS) berbasis Mobile dengan Teknologi Multimedia untuk Pembelajaran di Sekolah Pedesaan,software engineering
Normalisasi Lembar Teks Dokumen Dengan Teknik Remapping Image untuk Scanner dengan Camera Android,graphics and visualization
DECISION SUPPORT SYSTEM TO DETERMINE THE TRACK OPTIONS FOR INSTALLATION OF GAS DISTRIBUTION PIPE BETWEEN SUPPLIER AND DISTRIBUTION POINT,information management
Pembangunan Chatbot Bahasa Indonesia untuk Alat Bantu Pembelajaran Bahasa Inggris,intelligent system
Sistem Interpretasi Visual (Studi Kasus: Pengenalan Objek Buah-Buahan),graphics and visualization
Sistem Internet of Things dengan Algoritma Peningkatan Efisiensi Daya Sensor,intelligent system
Deteksi Kalimat Ofensif dalam Ucapan dan Teks Berbahasa Indonesia Menggunakan Pembelajaran Mesin,intelligent system
Visualisasi Data dan Program untuk Pendukung Kualitas Perangkat Lunak pada Metodologi Situational Method Software Engineering,information management
Metode Akses Langsung Berbasis Konten Pada Basis Data Non-Alfanumerik,information management
Distributed Digital Learning,sistem komputer
Pengembangan Prototip Mesin Inferensi Pengetahuan Spasial : studi kasus pengenalan tulisan tangan secara sintaktis,intelligent system
Pembangunan Prototipe Sistem TIK Untuk Mencari Informasi dan Memasarkan Produk Lokal Unggulan.,software engineering
SISTEM MONITORING DENGAN EMBEDDED LINUX,hardware
Peningkatan Kualitas Pendidikan Dasar di Jawa Barat melalui Pemanfaatan Teknologi Informasi dan Komunikasi,software engineering
Desa Cerdas Berbasis Rural-ICT,software engineering
Model dan Sistem Pembelajaran dalam Kelas Virtual dengan Bandwith Rendah,software engineering
Sistem Konferensi Multimedia Berbasis Web untuk Pembelajaran Digital Sekolah Dasar di Pedesaan,software engineering
Pembangkitan Ringkasan Secara Otomatis untuk Survey Paper,intelligent system
"Rancang Bangun Mini ATCS (Air Traffic Control System), Sarana Pemanduan Lalu-lintas Udara untuk Bandara Kelas Menengah",hardware
Penerapan dan Implementasi PSS Akses Informasi/Multimedia untuk Komunitas Masyarakat Belajar,software engineering
Peningkatan Kesejahteraan Petani dengan Penerapan Sistem Informasi Agribisnis,information management
Teknologi Digital Learning untuk Daerah Pedesaan,software engineering
Disaster Management Information System,information management
Jaringan Sensor Intelejen Untuk Pemantauan Gempa Bumi Berbasis Swarm Optimization,sistem komputer
Pembangunan Repository Bahasa-Bahasa Daerah Nusantara Dengan Menggunakan Teknologi WEB Semantik,information management
Pembangkitan Ringkasan Secara Otomatis untuk Survey Paper - Penelitian Lanjutan 2011,intelligent system
Pembuatan dan Pengembangan Purwa Rupa Sistem Web Identifikasi Sidik Jari Berbasis Pencarian Makna / Semantik (Searching by Content) Berbantukan Teknologi Open Source Untuk Mendukung Program Nasional Identitas Tunggal (e-KTP),graphics and visualization
Kajian dan Implementasi Sistem Pengenalan Tulisan Tangan berbasis relasi spasial,information management
Sistem Cerdas untuk Promosi Produk Kerajinan UMKM,intelligent system
Analisis Sentimen Real Time pada Microblogging,information management
Sistem Laboratorium Bahasa Multimedia yang Murah berbasis Thin Client Computing,software engineering
Pengembangan Sistem Manajemen Bandwidth Berbasis Web untuk Mendukung Layanan Digital Learning Pedesaan,sistem komputer
"Rancangan Dasar Sistem Biometrik Berbasis  Pengenalan Sidik Jari, Wajah, dan Suara",graphics and visualization
Genomic Data Mining Untuk  Prediksi Resiko Penyakit Kompleks Dalam Rangka Menunjang Personalized Medicine,information management
PENGEMBANGAN BEBERAPA ALGORITMA ENKRIPSI SELEKTIF UNTUK CITRA DIGITAL  DENGAN MENGGUNAKAN FUNGSI CHAOS,graphics and visualization
Pengembangan Sistem Interaktif untuk Peringkasan Multi Paper,software engineering
Algoritma Resampling Baru dan Konsep Partikel Fleksibel pada Filter Partikel untuk Penentuan Lokasi pada Robot Wahana Gerak Mandiri,algoritma dan pemrograman
Pembangkitan Peta Penelitian Otomatis dari Kumpulan Makalah Ilmiah,intelligent system
Pengembangan Sistem Perangkat Lunak Pemilahan Frekuensi Napas untuk Diagnosis Penyakit Paru dan Saluran Pernapasan,software engineering
Pengembangan Sistem Peringkasan Progresif Otomatis untuk Kumpulan Makalah Ilmiah,intelligent system
Pengembangan Metode Berbasis Valid Database Untuk Penanganan Data Hilang Dalam Proses  Ekstraksi Struktur Bayesian Network Dari Data,information management
"Penerapan Smart Gateway untuk  Mendukung Komunitas Guru Belajar (KGB) di Bandung, Cianjur, dan SubangJawa Barat",software engineering
Pemberdayaan Komunitas Guru di Cianjur untuk Mendukung Gerakan Guru Melek Internet (GGMI),software engineering
Pemanfaatan Media Sosial untuk Peningkatan Usaha bagi Start-Up Company,enterprise computing
Pembangkitan Peta Penelitian Otomatis  dari Kumpulan Makalah Ilmiah - Penelitian Lanjutan 2014,intelligent system
Pengembangan Sistem untuk Prediksi Kredibilitas Informasi dari Jejaring Sosial Online,intelligent system
Pengembangan Model Adopsi Cloud Computing untuk Perguruan Tinggi,sistem komputer
BIOMETRIKA - APPLICATION FRAMEWORK MODEL UNTUK EVALUASI METODE-METODE BIOMETRIK,graphics and visualization
Sequential Pattern sebagai Fitur Pengelompokan Dokumen(Document Clustering) untuk Analis Dokumen Pada Kasus BigData,information management
Manajemen Inormasi 'Unpredictable' pada Basisdata Spatio Temporal Kasus Tanggap Darurat Kebencanaan Indonesia,information management
Pendeteksi Plagiarisme Cerdas untuk Karya Ilmiah Multibahasa (Indonesia dan Inggris),intelligent system
Peringkasan Terpandu Otomatis untuk Aggregator Berita Bahasa Indonesia,intelligent system
Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile Untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat,software engineering
Sequential Pattern sebagai Fitur Pengelompokan Dokumen untuk Analisis Dokumen Pada Kasus BigData (Document Clustering based on Sequential Pattern for Document Analysis in Bigdata),information management
Biometrika - Application Framework Model untuk Evaluasi Metode-Metode Biometrik,graphics and visualization
Pembentukan Model Sistem Cerdas untuk Online Monitoring System Diesel Engine Ukuran Besar,intelligent system
Pengembangan Sistem Peringkasan Opini,intelligent system
Peringkasan Otomatis Informasi Pelengkap Berita Berbahasa Indonesia dari Media Sosial,intelligent system
Pemanfaatan Social Media Marketing untuk Sentra Industri Rajutan Binongjati,social and professional issue
PEMANFAATAN ELECTRONIC MARKETPLACE DI INDONESIA UNTUK MENINGKATKAN JANGKAUAN PASAR UKM  DIKOTA CIMAHI,enterprise computing
Pengembangan Sistem Peringkasan Opini (Lanjutan Tahun Kedua),intelligent system
Pembangkitan Otomatis Liputan Berita Waktu Nyata dengan Peringkasan Timeline (Generating Live Report Automatically Using Timeline Summarization),intelligent system
Penerapan Sistem Kelas Virtual Multimedia Berbasis Teknologi WebRTC untuk Pembelajaran Digital di Sekolah Dasar Pedesaan di Cianjur Jawa Barat,software engineering
PEMBANGUNAN APLIKASI KNOWLEDGE MANAGEMENT ONLINE MONITORING SYSTEM DIESEL ENGINE UKURAN BESAR,intelligent system
Pengembangan Sistem Parkir Berbasis Mesin Vision,graphics and visualization
Pengembangan Mesin Penerjemah Teks Bahasa Sunda ke dalam Bahasa Indonesia Menggunakan Metode Berbasis Hybrid,software engineering
Teknologi Konferensi Multimedia untuk Sekolah Pedesaan dengan Bandwidth Internet Terbatas,sistem komputer
Proposal P3MI KK Rekayasa Perangkat Lunak dan Pengetahuan,software engineering
Pengembangan Simulasi Animasi Menggunakan Teknik Animasi Diferensial,graphics and visualization
BotBerita: Pembangkit Artikel Berita Otomatis sebagai Pendukung Jurnalis (BotBerita: News Writing Bot for Supporting Journalist),intelligent system
Konsultan Penyusunan Rencana Strategis Teknologi Informasi (IT Strategic Plan) dan Rencana Kelangsungan Usaha (Business Continuity Plan),enterprise computing
Pengadaan Jasa Konsultan Bidang Data Center Tim Network Services Enhancement ,information management
"Jasa Konsultansi Untuk ICT Master Plan, Kebijakan ICT dan WO Aplikasi ",information management
Jasa Penyusunan Disaster Recovery Planning (DRP) PT. Pertamina Hulu Energi ,information management
"Pengadaan Jasa Assessment Perangkat Network, Link Komunikasi dan Colocation Data Center ",sistem komputer
Pengadaan Pengembangan Aplikasi Online Program Kemitraan (PKBL Online) ,enterprise computing
Pengembangan Cyber Weapon System,sistem komputer
Pembuatan Sistem dan Aplikasi e-Nelayan,software engineering
Pelatihan Teknik Deteksi Penyembunyian Data pada Multimedia Digital pada Lembaga Sandi Negara Tahun Anggaran 2015,information management
Jasa Konsultansi Solusi Integrasi Sistem Bea-Cukai Dengan Inaportnet PT. Pelabuhan Indonesia II (Persero) ,enterprise computing
Pendampingan Pengadaan dan Implementasi Basic Crane Simulator PT. Pelabuhan Indonesia II (Persero),software engineering
Pengadaan Konsultan Independen untuk Kajian dan Pendapatan atas Harga Pembelian 2 (dua) Host Computer ,enterprise computing
Tambahan Jasa Assesment Capacity Planning Hardware Core Banking Server 2015-2017,hardware
Konsultansi Desain Data Center dan Pendampingan Pengadaan Teknologi Informasi Lemhannas RI ,information management
"Studi Kelayakan (Feasibility Study) Pengembangan Marine Operating System (MOS), Pendampingan Pengadaan dan Pembangunan MOS di Pelabuhan Tanjung Priok ",sistem komputer
Jasa Assesment Capacity Planning Hardware Core Banking AS-400,hardware
Parking Management Prototyping,software engineering
Preliminary a Master Plan for Bandung ITS,enterprise computing
Software-Xmart Village Stage 2 (Pembuatan Aplikasi Perangkat Lunak Smart Village) ,software engineering
  Consultant to Conduct The Digital Birth Registration Feasibility Study and To Undertake Duties and Responsibilities   ,software engineering
Pengadaan Jasa Konsultan Uji Utilitas Perangkat ICT,software engineering
Pengadaan Jasa Konsultansi Pengembangan Tata Kelola Teknologi Informasi Perusahaan Umum (PERUM) Jaminan Kredit Indonesia,enterprise computing
Pengembangan Tata Kelola TI ,enterprise computing
Assessment Tata Kelola Tehnologi Informasi PT. Indonesia Power,enterprise computing
Kajian Stratejik Pengembangan Bisnis dan Layanan Maritime Broadband di Indonesia,information management
Jasa Konsultansi Audit Teknologi Informasi Lemhannas RI TA 2014,information management
Jasa Konsultansi Pengembangan IT Master Plan Lemhannas RI Tahun 2014-2019,enterprise computing
Jasa Konsultansi Standarisasi Autogate System Terminal Petikemas ,enterprise computing
"GAP Analysis dan Recommendation, Feasibility Study, Project Monitoring dan Quality Assurance Enhancement Simulator Crane PT. Pelabuhan Indonesia II (Persero)",software engineering
Pengadaan Jasa Assesment Hardware Core Banking Server 2015 - 2017,hardware
Workshop IT Audit dan IT Masterplan Lemhanas ,enterprise computing
  Pengadaan Perangkat Sistem Cyber Weapon Tahap II Lembaga Sandi Negara Tahun Anggaran 2014  ,sistem komputer
Software: Smart Village Project With ITB ,software engineering
"Facilitation support to the ICT Cloud  Research, Facilitation support to the Energy Management Research",sistem komputer
Pengadaan Riset Smart City 2014,software engineering
  Technology Evaluation Report of Community Cloud  ,sistem komputer
Pengadaan Program Pembangunan Enterprise Architecture (EA) Proses Bisnis Utama SKK Migas Tahap I Tahun 2014,enterprise computing
"Konsultan Pengawas Pekerjaan Data Center, Mesin Core System, Jaringan Komunikasi dan Pengembangan Aplikasi Inti ",information management
Penyusunan Master Plan Teknologi Informasi RSUP Dr. Hasan Sadikin Bandung ,enterprise computing
Jasa Konsultan Perencana dan Pengawas System Smart Card,enterprise computing
Penyusunan Kebijakan dan Standar Operating Prosedur (SOP) Teknologi Informasi (TI),information management
Jasa Konsultansi Pola Pengadaan Aplikasi Port Wide Solution Untuk Kebutuhan Operasional PT. Pelabuhan Indonesia II (Persero),enterprise computing
Jasa Pengadaan Konsultan Terkait Implementasi New Wave Business ,enterprise computing
Develop Dokumen IT Governance PT. Multi Terminal Indonesia,enterprise computing
Develop dokumen dan Design BCP dan DRP PT. Multi Terminal Indonesia,software engineering
Perancangan Teknis Perangkat Utama dan Perangkat Pendukung Data Center dan Disaster Recovery Center (Paket C.18),hardware
Jasa Konsultansi Evaluasi Sistem Teknologi Informasi Untuk Cabang Tanjung Perak PT. Pelabuhan Indonesia III (Persero) ,enterprise computing
Perbaikan dan Penyempurnaan Core Banking System PD BPR Bank Bantul ,enterprise computing
"Penyusunan, Pembuatan, Pengembangan dan Penyempurnaan Kebijakan Peraturan Direksi, Surat Edaran Direksi untuk Standard Operating Procedure (SOP) Operation Business Support Division (OBSD)",enterprise computing
Konsultan Master Plant IT,enterprise computing
Jasa Konsultasi Kajian Penyusunan Masterplan SCADA (Supervisory Control and Data Acquisition),information management
Konsultan Jasa IT Governance Refreshment dan Review,enterprise computing
Manajemen Proses Bisnis 10 s/d 13 September 2013,enterprise computing
Manajemen Proses Bisnis 26 s/d 28 November 2013 (Batch 2),enterprise computing
Pekerjaan Pembuatan dan Implementasi Enterprise Resource Planning (ERP)  PT. Perkebunan Nusantara X (Persero) ,enterprise computing
Jasa Konsultansi Studi Keandalan Kelistrikan Kota Jambi ,hardware
Jasa Konsultansi Studi Keandalan Kelistrikan Kota Bengkulu ,hardware
Jasa IT Security Vulnebrability Assesment (VA) Bank Jatim,sistem komputer
"Data Manage Service yang Meliputi Informasi Definisi, Approach dan Business Model dalam Manage Service ",information management
1 LO Assesment Sistem Perlindungan Petir ,hardware
"Analisa Layanan Bisnis BTS Hotel di Indonesia, meliputi (Financial, Teknologi, Trend dan Perda)",enterprise computing
Data Prospek dan Analisa Ku-Bank Bisnis Satelit di Indonesia ,information management
Pengadaan Jasa Konsultan TI / Pendampingan Untuk Pengembangan Sistem Informasi Terintegrasi / ERP Perkebunan ,information management
Pengadaan Jasa Migrasi Software Open Source (OSS) Tahap-2,enterprise computing
Market Behavior Research 2012 Bulanan April & Mei ,social and professional issue
Konsultan Market Behaviour Research (MBR) Tahun 2012,enterprise computing
Market Reserarch Untuk Data & Voice Service ,information management
Survey Demand Internet Broadband,sistem komputer
Improvement of Lightning Protection System at Company's Facilities - Balikpapan ,social and professional issue
Competitive Intelligence PGASCOM ,intelligent system
Penyusunan Business Impact Analysis (BIA) dan Business Continuity Plan (BCP) ,enterprise computing
Revisi Blue Print Untuk PT. Asabri (Persero) ,enterprise computing
Jasa Konsultan Penyusunan Business Contunity Plan (BCP) dan Disaster Recovery Plan (DRP) ,enterprise computing
Pengadaan Jasa Konsultasi Feasibility Study (FS) Lokasi Data Center 2,information management
Pengadaan Jasa Konsultansi Review SOP Teknologi Informasi ,information management
Pembelian Data Market Metro-E Semester I 2012,information management
Data Market Provider Broadband untuk Mobile Service dan Tingkat Kepuasan atas Layanan Data Internet ,information management
Kajian Improvement Aplikasi Information And Communication Technology (ICT) ,information management
Seleksi Tenaga Bidang Sistem Informasi ,information management
Inhouse Training Audit IT ,enterprise computing
Pelatihan Pranata Muda Pertama TI ,enterprise computing
Jasa Pelatihan COBIT (Control for Information and Related technology),information management
Jasa Pelatihan PKBL On-Line dan Modifikasi Minor Aplikasi PKBL On-Line (Pengadaan Jasa Transfer of Knowledge & Modifikasi Minor Aplikasi PKBL On-Line),software engineering
Lanjutan Kajian Data Center dan Disaster Recovery Center Teknologi Informasi di Bank Indonesia,information management
Mitigasi Permasalahan Power Quality Sistem Kelistrikan di Kaji ,hardware
Mitigasi Permasalahan Power Quality Sistem Kelistrikan di Semoga,hardware
Implementasi IT Governance,enterprise computing
Pengadaan Jasa Market Behavior Research Tahun 2011,enterprise computing
Penelitian dan Pengembangan Perangkat akuisisi data Odometer dan Pengiriman Melalui Jaringan Seluler,sistem komputer
Regulatory Impact Assessment,information management
Konsultan Evaluasi Kompetensi Bidang Telekomunikasi & Teknologi Informasi ,information management
CTG Lightning Protection Improvement CTG 101/102/103 Ecternal Lightning Protection ,hardware
"Supply, Implementation and Maintenance of GI DNS TOOLS (OSS) TTC Buaran & TBS",information management
Penyedian Material and Pengerjaan Perbaikan Proteksi Petir pada area PCV 406 dan PCV 505 (Supply Material and Perform Improvement of Lightning Prtection System at PCV 406 and PCV 505 Areas),social and professional issue
Investigation and improvement Design of lightning Protection of Total E&P Indonesie Balikpapan,social and professional issue
Jasa Pemeliharaan Arsitektur Sistem / Teknologi Sistem Informasi Di Lingkungan PT. Indonesia Power ,enterprise computing
Pengawasan Pengadaan dan Pemasangan Peralatan Tol Pada Jalan Tol Jakarta - Tangerang ,enterprise computing
Studi Kelayakan dan Design Engineering PLTMH Lembang Bakaru ,software engineering
Trouble Shoot Induksi Tegangan Pada Sistem Grounding dan Assessment Grounding System Sakernan Station ,sistem komputer
"Penyusunan Roadmap Bisnis, Organisasi dan Tata Kelola (Governance) Card Business and Electronic Banking Desk ",enterprise computing
Jasa Konsultan Audit IT dan Up Date Masterplan IT Perum Perhutani ,enterprise computing
Jasa Evaluasi dan Desain Sistem Proteksi Petir di Area Kaji Office & Camp ,social and professional issue
Jasa Evaluasi dan Desain Sistem Proteksi Petir di Area Kaji Station & Over Head Line ,social and professional issue
Jasa Evaluasi dan Desain Sistem Proteksi Petir di Area Semoga Station & Over Head Line ,social and professional issue
Jasa Evaluasi dan Desain Sistem Proteksi Petir di Area Kaji Satelit Station & Over Head Line ,social and professional issue
Arrester Proteksi Petir ,social and professional issue
Penyusunan Kebijakan Pengelolaan Keamanan Informasi ,information management
CTG Lightning Protection System Installation of Grounding & Installation of Arrester ,social and professional issue
Material Supply for Grounding System of CTG-TPPI Tuban Lightning Protection Improvement,social and professional issue
Analisa Kelayakan dan Perencanaan Lanjutan Serta Pengawasan Terhadap Stabilisasi Pengembangan Aplikasi Inti (INTANS),software engineering
Training EMC Based Lightning Protection System in Hazardous Area,social and professional issue
Pekerjaan Penyusunan Pembaruan Rencana Induk Pelabuhan Ciwandan ,enterprise computing
