judul_proposal,deskripsi
"PEMBANGUNAN PLATFORM CLOUD YANG TEPAT GUNA BAGI KOMUNITAS BERGERAK Perkembangan teknologi Internet saat ini telah meluas dari penyedia informasi menuju layanan komputasi. Tren ini menuju pada satu paradigma baru yang disebut cloud computing. Cloud computing memiliki karakter layanan yang bersifat online, tersebar secara geografis, dengan dukungan perangkat akses client yang bersifat mobile. Cloud computing menggunakan perkembangan teknologi web mutakhir, yaitu teknologi Web 2.0. Cloud computing memanfaatkan layanan Internet yang menggunakan pusat server yang bersifat virtual dengan tujuan maintain data dan aplikasi. Kehadiran cloud memberikan dampak yang cukup besar bagi organisasi. Efisiensi perangkat dan biaya dapat ditekan secara signifikan. Namun perkembangan cloud menemui banyak hambatan. Hambatan terbesar saat ini terletak pada aspek keamanan (security) dan unjuk kerja. Permasalahan unjuk kerja (performance) ini dapat terus diperbaiki dengan melakukan riset yang memadukan beragam keilmuan. Mulai dari sains, rekayasa, manajemen bisnis, desain estetik hingga ilmu sosial. Salah satu faktor penentu kinerja cloud adalah faktor platform cloud yang digunakan. Pada kegiatan ini akan diajukan sebuah penelitian yang mengusung topik pembangunan platform cloud bagi komunitas bergerak. Platform cloud yang akan dibangun lebih diposisikan sebagai Cloud Software Framework, yaitu tempat dimana aplikasi-aplikasi akan berjalan di atasnya. Untuk membangun aplikasi-aplikasi yang akan berjalan di platform cloud ini maka turut pula dibangun tool (IDE)  yang membantu para pengembang (developer) untuk membangun aplikasi dengan lebih mudah. Penelitian ini melibatkan mahasiswa S1, S2 dan S3 yang ada dalam Kelompok Riset Multimedia and Cyberspace Engineering di KKTI STEI ITB, sehingga berpotensi meningkatkan keilmuan mahasiswa di bidang cloud computing dan sistem tersebar, serta berperan dalam penyelesaian tugas-tugas akademik mahasiswa yang bersangkutan. Dalam bidang pengajaran, penelitian ini menjadi wahana yang tepat, yang mendemonstrasikan kreatifitas dan intelektualitas mahasiswa bersama peneliti. Hasil penelitian ini juga akan memberikan kontribusi nyata bagi masyarakat umum dan pegiat IT, melalui aplikasi-aplikasi yang dibangun. Penelitian ini juga akan memberi warna tersendiri bagi platform cloud yang saat ini tengah menjadi fokus peneliti dari kalangan akademik maupun kalangan industri di seluruh dunia.",sistem komputer
"Pengembangan Sistem TIK untuk Kelas Berbasis VIDEOLAN untuk Mendukung Layanan Pembelajaran Jarak Jauh di Pedesaan Indonesia merupakan negara dengan sistem pendidikan berstandar yang seragam untuk seluruh sekolah baik di daerah perkotaan maupun daerah pedesaan. Masalah yang sering dihadapi oleh sekolah-sekolah di pedesaan adalah kurangnya jumlah dan keragaman guru mata pelajaran tertentu. Terkadang suatu sekolah tidak memiliki guru mata pelajaran tertentu. Selain itu, jarak antar sekolah yang cukup jauh (sekitar 10 km). Kondisi medan atau alam yang sulit juga bagi guru untuk berpindah-pindah sekolah setiap kali akan mengajar. Untuk mengatasi permasalahan tersebut, perlu dikembangkan suatu sistem TIK untuk kelas bagi sekolah-sekolah di pedesaan yang kekurangan guru dan jarak antar sekolahnya berjauhan. Dengan sistem tersebut, murid-murid di sekolah-sekolah yang lokasinya jauh dan tidak memiliki guru mata pelajaran tertentu bisa mendapat pengajaran dari guru di sekolah lain. Sistem TIK untuk kelas ini menggunakan konsep pembelajaran jarak jauh (distance learning). Pengembangan layanan pembelajaran jarak jauh di pedesaan memiliki tantangan dari segi keterbatasan bandwidth jaringan dan kondisi jaringan yang tidak stabil (Nugraha, 2010). Ketika jaringan mengalami gangguan sehingga kapasitas jaringan menyempit, pengiriman video akan terhambat atau bahkan terhenti. Hal ini sangat mengganggu jalannya proses pembelajaran karena materi menjadi tidak tersampaikan sama sekali, padahal faktor kunci dari proses pembelajaran adalah materi. Oleh karena itu, sistem TIK untuk kelas diperlukan untuk menyesuaikan bandwidth yang tersedia terhadap QoS bagi pengguna agar materi pembelajaran jarak jauh dapat tersampaikan dengan baik. Selain itu, penelitian ini juga harus mempertimbangkan kemudahan dalam penggunaan teknologi mengingat masyarakat pedesaan masih kurang familiar dengan pemanfaatan teknologi, terutama komputer. Oleh karena itu, penelitian ini mencoba melakukan perancangan sistem dengan konsep sistem produk-layanan (Product Service Systems, PSS). Secara garis besar, proses perancangan dapat dibagi menjadi beberapa fase, yaitu penentuan proposisi nilai, analisis pasar (market analysis), pendefinisian produk dan layanan, analisis penggunaan (use-case analysis), perancangan prototipe, pengujian, dan pendefinisian akhir. Hasil penelitian ini diharapkan diperoleh suatu sistem manajemen bandwidth guna mengatasi permasalahan distribusi bandwidth yang terdapat pada jaringan e-learning. Disamping itu, dengan adanya penelitian ini diharapkan komunitas belajar memperoleh QoS yang memadai dari layanan e-learning.",sistem komputer
"Pengembangan Komunitas Siswa Belajar Berbasis TIK (Studi Kasus Desa Punclut-Jawa Barat) Pada tahun 2010-2011, melalui program Penelitian Pengabdian Masyarakat ITB 'Penerapan dan Implementasi PSS Akses Informasi/Multimedia untuk Komunitas Masyarakat Belajar' penelitian ini telah menghasilkan akses data informasi bagi komunitas masyarakat di kawasan desa Punclut-Jawa Barat. Sistem produk dan layanan berbasis TIK menyediakan akses informasi untuk pembelajaran bagi masyarakat. Informasi yang dibutuhkan tersebut disimpan dalam bentuk konten-konten CD/DVD (off-line), konten-konten digital yang tersimpan di dalam server-server intranet lokal (on-line), serta akses bagi untuk melakukan penjelajahan informasi berbasis web di server-server internet global (on-line). Pada tahun 2012 ini, penelitian akan diarahkan pada pengembangan PSS Komunitas Siswa Belajar. PSS Komunitas Siswa Belajar adalah sistem produk-layanan berbasis TIK yang menyediakan akses informasi multimedia bagi siswa untuk melakukan kegiatan pembelajaran berbasis komunitas yang bersifat interaktif dan kolaboratif. Penelitian juga diarahkan untuk menghasilkan aplikasi dan konten pembelajaran berbasis komunitas bagi siswa. Metodologi yang digunakan dalam penelitian ini mengacu pada konsep sistem produk layanan (Product Service System, PSS) yang dititikberatkan pada tahap penggunan (use case) dan implementasi. Implementasi prototip sistem produk-layanan akan dilakukan di jaringan testbed yaitu kawasan desa Punclut, Provinsi Jawa Barat. Sistem akan diuji untuk mengetahui pola penggunaan dari sistem produk-layanan. Selain itu, pengujian juga akan dilakukan terhadap keefektifan dalam melakukan fungsi-fungsi utamanya. Melalui penerapan metode pembelajaran berbasis komunitas yang interaktif dan kolaboratif diharapkan dapat meningkatkan kompetensi siswa, di antaranya kemampuan kreativitas, kemampuan observasi dan eksplorasi, serta kemampuan berinteraksi, mengungkapkan pendapat dan bekerja sama. Solusi TIK dalam bentuk sistem produk-layanan yang dihasilkan hanya dapat berhasil apabila memiliki relevansi dengan kehidupan sosial dan budaya masyarakat setempat. Oleh sebab itu, pemilihan teknologi dan pengembangan aplikasi serta konten pembelajaran memperhatikan aspek kebutuhan, kemampuan, serta kearifan lokal masyarakat.",social and professional issue
"Cloud Health di Indonesia (CLoud Health Reminder System Tuberculosis) Riset Cloud-Health di Indonesia ini dilakukan dalam rangka mencoba mengadopsi sebuah konsep teknologi Cloud Computing, dimulai dengan pembangunan arsitektur dan platform cloud computing yang dikembangkan untuk solusi pemanfaatan TI di bidang kesehatan, pengembangan prototipe aplikasi Cloud Computing, ujicoba infrastrukturnya, kemudian sampai dengan aplikasi cloud health  tadi diimplementasikan untuk masyarakat indonesia. Teknologi Cloud computing  ini dipilih karena memiliki karakter layanan yang bersifat online, tersebar secara geografis, dengan dukungan perangkat akses client yang bersifat mobile.Salah satu aplikasi yang ingin dihasilkan dari riset ini yaitu cloud-health reminder system tuberculosis di Indonesia, yaitu reminder system bagi semua pasien tuberkulosis (TB) yang dalam masa pengobatan dan manajemen serta monitoring pengobatan pasien bagi petugas TB (petugas TB yang berada di seluruh Unit Pelayanan Kesehatan yaitu meliputi Puskesmas, Rumah Sakit Pemerintah dan swasta, Rumah Sakit Paru, Balai Pengobatan Penyakit Paru Paru, Klinik Pengobatan lain serta Dokter Praktek Swasta).Riset ini melibatkan disiplin ilmu teknologi informasi dan kedokteran. Ide awal dari kasus yang dipilih menjadi aplikasi hasil riset tentang tuberkulosis karena melihat kedaruratan dan beban penyakit TB di masyarakat masih sangat tinggi dan penanggulangannya yang khusus dari pemerintah, dan adanya dokumen Strategi Nasional Pengendalian Tuberkulosis, dan dikeluarkannya Peraturan Menteri Kesehatan Republik Indonesia Nomor 565/Menkes/Per/Iii/2011 Tentang Strategi Nasional Pengendalian Tuberkulosis Tahun 2011-2014, yang bertujuan untuk memberikan acuan bagi pemerintah, pemerintah daerah, masyarakat, fasilitas pelayanan kesehatan, institusi pendidikan/penelitian, serta lembaga swadaya masyarakat dalam penyelenggaraan program pengendalian tuberkulosis. Dalam Strategi Nasional tersebut disusun 8 Rencana Aksi Nasional yang salah satunya dalam area kegiatan Rencana Aksi Nasional Informasi Strategis meliputi Monitoring dan Evaluasi, sistem informasi, survailans dan penelitian operasional. Riset ini akan menjadi pembuktian dan bagian dari roadmap riset cloud computing di MUCER (Multimedia and Cyber Space Engineering Research Group) KK TI, yaitu pada bagian realisasi dan implementasi Software As a Service di bidang e-Health. Hasil riset ini selain dapat dimanfaatkan bagi masyarakat sebagai kontribusi dalam penanggulangan Tuberkulosis di Indonesia, juga dapat menjadi bagian dari pengajaran dan pengembangan keilmuan di Mucer dan KK TI Tentang topik cloud computing.",sistem komputer
": Alat Bantu Identifikasi Plagiasi Dokumen menggunakan Informasi Sintaks dan Latent Semantic Penelitian ini mengajukan usulan pembangunan alat bantu pendeteksi plagiasi paper karya ilmiah dengan menggunakan teknik komputasional linguistik yaitu text categorization. Teknik umum yang digunakan dalam text categorization adalah dengan mengasumsikan dokumen sebagai sekumpulan kata yang tidak memperhatikan urutan. Pendekatan seperti ini memiliki kelemahan karena tidak mampu mengatasi polisemi maupun sinonim dalam bentuk frase. Teknik yang diajukan pada penelitian melibatkan informasi sintaksis kalimat yang pada akhirnya menghasilkan berbagai Named Entity dari sebuah kalimat yang kemudian dipetakan dalam ruang vektor latent semantic. Dengan teknik seperti ini, diharapkan hasil pendeteksian plagiasi akan menjadi lebih akurat.Tujuan akhir dari riset adalah sebuah alat bantu atau perangkat lunak yang menerima masukan berupa sebuah paper yang akan dicek tingkat kemiripannya dengan kumpulan paper yang ada serta menghasilkan keluaran berupa daftar paper yang terurut berdasar kemiripan dengan paper referensi disertai nilai kemiripannya. Kumpulan paper awal diperoleh dengan menggunakan API mesin pencari. Hasil kumpulan paper akan diproses dengan memetakan setiap dokumen ke dalam ruang vektor latent semantic dimana dimensi yang digunakan adalah berupa Named Entity. Untuk menghasilkan perangkat lunak seperti ini, terdapat beberapa komponen modul yang perlu dibangun seperti modul ekstraksi kata kunci, modul pemeta ruang vektor latent semantic, modul penghitung kemiripan, dan modul pemanggil API mesin pencari.  Riset akan dibagi menjadi beberapa tahap yaitu pengumpulan data paper dengan keterkaitannya terhadap paper lain, analisis hipotesis secara lebih mendalam, pembangunan perangkat lunak termasuk modul-modul di dalamnya serta eksperimen terhadap beberapa skenario teknik yang dihasilkan dari tahap analisis hipotesis. Dengan berbagai tahap ini, riset ini memiliki target berupa prototipe skala industri yang dapat dimanfaatkan secara langsung oleh masyarakat akademik, publikasi baik dalam konferensi maupun jurnal serta HKI (paten).",intelligent system
"Kajian dan Implementasi Sistem Visual Interaktif untuk Analisa Geometrik dari Kromosom Dalam penelitian ini akan dilakukan perancangan dan implementasi sistem perangkat lunak untuk mendukung kemudahan dan kecepatan dalam melakukan analisis geometri dari citra kromosom yang berasal dari sel manusia. Perangkat lunak yang dirancang akan berupa sebuah fasilitas interaktif yang akan melakukan pekerjaan-pekerjaan untuk membantu mengekstrak, mengorganisasi objek, serta mendukung keputusan dalam melakukan interpretasi.",graphics and visualization
"Peningkatan Literasi TIK Komunitas Guru Sekolah Bandung-Subang-Cianjur untuk Mendukung e-Learning Sejak tahun 2009, PPTIK-ITB bekerjasama dengan Universitas Pendidikan Indonesia (UPI), giat mengembangkan sistem produk dan layanan pembelajaran digital untuk membantu dan mendukung proses belajar-mengajar di daerah pedesaan dengan memanfaatkan teknologi informasi dan komunikasi (TIK). Target pengguna utama dari layanan tersebut adalah guru-guru sekolah dasar yang tergabung dalam jaringan testbed yang dikelola oleh PPTIK-ITB, yaitu jaringan Bandung-Subang-Cianjur, Keerom (Papua), dan Waingapu (Nusa Tenggara Timur). Meskipun demikian, tingkat utilitas layanan masih sangat rendah. Hal ini disebabkan oleh tingkat literasi komputer guru dan tingkat penggunaan komputer dalam kegiatan sehari-hari masih sangat rendah. Oleh karena itu, peningkatan literasi komputer bagi guru-guru sekolah dasar di pedesaan sangat diperlukan untuk meningkatkan kecakapan guru dalam mengoperasikan komputer dan mendukung kegiatan implementasi sistem produk dan layanan pembelajaran digital, yang merupakan hasil iptek rintisan civitas akademika ITB. Jaringan testbed Bandung-Subang-Cianjur yang lokasinya relatif dekat dengan ITB merupakan sasaran awal yang tepat untuk melakukan peningkatan literasi komputer bagi guru sekolah dasar di pedesaan. Arti penting dari kegiatan peningkatan literasi komputer bagi guru-guru sekolah dasar di pedesaan adalah: 1) dihasilkannya metode peningkatan literasi komputer bagi guru-guru di pedesaan, 2) dihasilkannya keterampilan guru-guru di pedesaan dalam pemanfaatan komputer, khususnya sebagai sarana pembelajaran digital, dan 3) dimanfaatkannya secara maksimal sistem produk dan layanan pembelajaran digital rintisan PPTIK-ITB sebagai sarana pendukung pembelajaran di pedesaan. Kegiatan ini akan dilaksanakan dengan menggunakan tiga metode, yaitu belajar mandiri, belajar kelompok, dan pelatihan. Metode belajar mandiri dilakukan dengan cara menyediakan panduan belajar bagi guru. Panduan tersebut dapat dibaca dan dipelajari secara mandiri. Metode belajar kelompok dilakukan dengan cara mendorong para guru untuk belajar bersama agar pengetahuan dapat lebih cepat diserap dan antarguru dapat saling memotivasi. Sedangkan, metode pelatihan dilakukan dengan mengadakan sesi-sesi pelatihan untuk guru. Sesi pelatihan akan membahas isi dari panduan yang diberikan, mendorong guru untuk mempraktekkan langsung, dan mendiskusikan pertanyaan-pertanyaan yang muncul. Kegiatan peningkatan literasi komputer bagi guru sekolah dasar di pedesaan akan dilakukan dalam kurun waktu sembilan bulan. Kegiatan tersebut meliputi penyusunan buku panduan, sosialisasi kegiatan kepada guru, pelatihan dan pendampingan saat proses belajar mandiri dan kelompok, serta evaluasi kegiatan.",social and professional issue
"Pemodelan Kinerja Jaringan Nirkabel Berbasis   IEEE 802.11 yang Mendukung Kualitas   Layanan Video Streaming Penelitian ini merupakan bagian dari program pengembangan pembelajaran digital untuk menjawab persoalan di bidang pendidikan di pedesaan. Pendidikan di pedesaan berkembang tidak secepat perkotaan. Ketertinggalan ini dapat dikejar dengan mengembangkan sistem dan layanan teknologi informasi yang menekankan pada aspek pembangunan komunitas digital learning baik formal maupun non formal, salah satunya pemanfaatan video streaming untuk digital learning melalui Wireless Local Area Network (WLAN). Digital learning merupakan proses penyelenggaraan pembelajaran yang dapat diakses oleh kelas-kelas virtual melalui aplikasi wireless multimedia streaming.Ketersediaan infrastruktur telekomunikasi di pedesaan masih sangat terbatas. Salah satu permasalahannya adalah tingginya biaya infrastruktur jaringan kabel, sehingga diperlukan suatu teknologi jaringan yang lebih relatif rendah biaya. Jaringan nirkabel selain implementasinya relatif murah, namun juga memberikan kemudahaan dalam fleksibilitas terhadap para pengguna untuk terhubung dengan jaringan [1]. Penggunaan teknologi jaringan nirkabel dapat mengurangi beban biaya karena tidak memerlukan infrastruktur kabel, namun lebih rentan terhadap gangguan jika dibandingkan dengan jaringan kabel. Untuk itu masalah throughput, bandwidth (kapasitas jaringan), delay (waktu tunda) dan packet loss (tingkat paket hilang) harus diperhatikan. Aplikasi multimedia streaming yang komponen utamanya adalah penyampaian sinyal audio dan sinyal video secara real-time membutuhkan sumber daya jaringan yang memadai. Sementara jaringan nirkabel pedesaan sangat terkendala oleh berbagai faktor yang menjadikan rendahnya kualitas layanan audio-video. Penambahan atau penggantian peralatan jaringan agar memenuhi kebutuhan kualitas layanan jelas bukanlah solusi yang tepat mengingat dibutuhkannya biaya investasi yang tidak sedikit. Oleh karena itu, penjaminan kualitas layanan atau yang dikenal dengan istilah Quality of Service (QoS) merupakan solusi yang tepat. Penelitian kualitas layanan ini sangat penting untuk menjamin keberlanjutan program digital learning. Penelitian ini diusulkan untuk menghasilkan model kinerja jaringan nirkabel berbasis IEEE 802.11 yang mendukung kualitas layanan video streaming di pedesaan.",sistem komputer
"Pengembangan Embedded Virtual Class Box untuk Mendukung Pembelajaran Jarak Jauh untuk Sekolah di Daerah Rural Isu pokok dari proposal yang diajukan adalah diperlukannya perangkat Embedded Virtual Class Box yang dapat mendukung program Digital Learning dengan memanfaatkan Teknologi Informasi dan Komunikasi. Salah satu aspek penting dalam pembangunan adalah sektor pendidikan bagi komunitas masyarakat, untuk dapat meningkatkan kesejahteraan masyarakat. Program Digital Learning bertujuan untuk meningkatkan kualitas pendidikan di daerah pedalaman yang kekurangan tenaga pengajar yang berkualitas. Dengan meningkatnya kualitas pendidikan pada suatu daerah maka kesejahteraan dan kualitas hidup masyarakat pada daerah tersebut dapat meningkat. Program penelitian yang diajukan ini bertujuan membuat sebuah perangkat Embedded Virtual Class Box yang mudah digunakan untuk mendukung program Digital Learning. Perangkat yang dihasilkan dalam program penelitian merupakan sistem embedded dengan fungsi tunggal dengan melakukan optimasi pada sisi perangkat keras maupun perangkat lunak sehingga dapat memiliki performa yang optimal dan juga mudah dioperasikan. Faktor kemudahan diperlukan agar sistem Digital Learning dapat dioperasikan dengan mudah oleh masyarakat lokal pada daerah tersebut tanpa harus memberikan training khusus yang intensif.",software engineering
"Jaminan Kualitas Layanan Cross-Layer pada Multimedia  Streaming di Jaringan Wireless Internet (Cross-Layer Based QoS in Multimedia Streaming in Internet  Wireless Network) Penelitian ini merupakan bagian dari program pengembangan pembelajaran digital untuk menjawab persoalan di bidang pendidikan termasuk di antaranya adalah pemerataan kesempatan, pemerataan kualitas, peningkatan kualitas, ekonomi pendidikan, dan kesenjangan lulusan. Program yang Pusat Penelitian Teknologi Informasi dan Komunikasi _ Institut Teknologi Bandung (PPTIK-ITB) ini disebut NexGenDL yaitu konsep pembelajaran dengan menerapkan metode Lesson Study dikombinasikan dengan pemanfaatan teknologi informasi dan komunikasi (TIK). Pembelajaran digital menjanjikan inovasi proses belajar yang lebih efektif dan efisien. Salah satu proses di dalam Lesson Study berbasis TIK adalah open lesson yaitu penyelenggaraan pembelajaran secara terbuka yang dapat diakses oleh kelas-kelas virtual melalui aplikasi wireless multimedia streaming.Aplikasi multimedia streaming yang komponen utamanya adalah penyampaian sinyal audio dan sinyal video secara real-time membutuhkan sumber daya jaringan yang memadai. Sementara jaringan nirkabel pedesaan sangat terkendala oleh berbagai faktor yang menjadikan rendahnya kualitas layanan audio-video. Penambahan atau penggantian peralatan jaringan agar memenuhi kebutuhan kualitas layanan jelas bukanlah solusi yang tepat mengingat dibutuhkannya biaya investasi yang tidak sedikit. Oleh karena itu, penjaminan QoS merupakan solusi yang tepat. Penelitian kualitas layanan (QoS) ini sangat penting untuk menjamin keberlanjutan program digital learning. Penelitian ini diusulkan untuk menghasilkan model QoS cross-layer yang mengadaptasi EDCA dari hasil penggabungan dari model estimasi distorsi video dan model channel troughput estimation.",sistem komputer
"Pembangkit Portofolio Siswa Otomatis Penelitian ini mengusulkan pengembangan modul pembangkit (generator) portofolio siswa otomatis yang merupakan bagian dari aplikasi digital learning. Diharapkan modul ini dapat membantu proses evaluasi pembelajaran siswa sehingga akhirnya dapat meningkatkan kualitas siswa. Modul akan dikembangkan menggunakan pendekatan prototyping dengan tujuan mampu memenuhi semua kebutuhan siswa atas proses evaluasi. Masalah utama yang akan diteliti adalah proses pengembangan perangkat lunak modul yang meliputi analisis kebutuhan, perancangan, implementasi dan uji coba serta proses penilaian portofolio yang memudahkan tutor dalam memonitor kinerja siswa. Bidang ilmu yang terlibat dalam penelitian ini adalah bidang ilmu rekayasa perangkat lunak, tutoring system dan kecerdasan buatan. Penelitian ini terbagi atas 2 (dua) tahun pengerjaan dimana tahun pertama, penelitian akan difokuskan pada perangkat lunak modul yang mampu menangkap semua kegiatan siswa dimana modul ini akan diintegrasikan dengan perangkat lunak digital learning yang telah dikembangkan sebelumnya. Sedangkan pada tahun kedua, penelitian akan difokuskan pada pembangunan modul penilaian portofolio dengan pembandingan metode berdasar aturan dan metode berdasar statistik (data). Impak dari penelitian terkait dengan pengembangan potensi SDM atau pendidikan. Modul ini menjadi krusial karena akan dapat meningkatkan kualitas siswa dengan tersedianya bahan evaluasi siswa yang lengkap terkait dengan aksi siswa selama pembelajaran, bukan hanya mengandalkan ujian akhir dari siswa. Selain itu, modul ini juga menjadi penting karena memudahkan tutor dalam memonitor prestasi siswa sehingga tutor dapat memberikan perlakuan yang tepat sesuai dengan kemampuan siswa dalam jumlah yang banyak. Secara saintifik, penelitian ini memiliki kontribusi di bidang tutoring system / digital learning dan kecerdasan buatan.",intelligent system
"Semantic Tecjnology untuk Mendukung Interoperabilitas Antar Model Informasi Electronic Health Record (EHR) Electronic Health Record (EHR) adalah rekam jejak elektronik pasien yang mengandung informasi lengkap tentang kesehatan pasien. Informasi ini diperoleh ketika berinteraksi dengan institusi layanan kesehatan (dokter, klinik, atau rumah sakit). Berbagai negara (spt Amerika, Uni Eropa, dan Australia) telah mengembangkan definisi dari model arsitektur dan model informasi untuk EHR dalam rangka standarisasi EHR digital. Variasi dari standar EHR menimbulkan masalah kompatibilitas, baik secara sintak maupun semantik, untuk mendistribusikan informasi klinis ke berbagai sistem yang berbeda. Hal ini mengakibatkan persoalan interoperabilitas diantara berbagai model EHR yang mana setiap model menerapkan pemodelan data yang berbeda.Pendekatan konvensional untuk melakukan integrasi dan interoperabilitas antar berbagai aplikasi adalah dengan konsep adaptor & pertukaran format. Namun hasil pendekatan ini belum mampu memenuhi kebutuhan interoperabilitas EHR. Untuk menjawab persoalan ini, teknologi semantic (semantic technology) merupakan alternatif solusi untuk mendukung dan meningkatkan interoperabilitas diantara berbagai sistem EHR.Proposal penelitian ini diajukan untuk :î mengembangkan metode untuk mendukung interoperabilitas semantik berbasis archetype antar standar EHR ñ. Archetype mendefinisikan konsep klinis (clinical contextual) yang dibangun oleh domain expert. Sehingga archetype adalah tool untuk membangun konsensus klinis secara konsisten dan merupakan dasar untuk mencapai interoperabilitas EHR penuh (fully interoperability EHR).",information management
PEMBANGKITAN SOAL KUIS OTOMATIS PADA   EVALUASI PEMBELAJARAN DIGITAL Penyelenggaraan pembelajaran secara digital membuka peluang adanya pemerataan pendidikan sehingga tidak lagi terkendala pada metode pengajaran tatap muka. Namun pengadopsian metode mengajar ini terhambat pada alokasi waktu yang dialami pengajar yang juga harus menyelenggarakan kelas tatap muka. Alokasi waktu untuk melakukan evaluasi sebagai umpan balik kepada peserta ajar seringkali tidak sebanding dengan alokasi waktu untuk mempersiapkan materi ajar. Pemfasilitasian proses pembelajaran secara digital baru sampai pada tahap perantara penyampaian materi ajar dan materi evaluasi sehingga penyelenggaraan dengan metode yang baru ini belum memberikan manfaat yang signifikan dibandingkan dengan tambahan pekerjaan yang harus dilakukan oleh pengajar. Kendala ini secara tidak langsung menghambat akselerasi adopsi pembelajaran digital di Indonesia.Penelitian ini bertujuan mengembangkan teknologi untuk mempercepat proses pembuatan materi evaluasi agar dapat diekstrak dari materi ajar secara semi-otomatis. Dengan demikian peserta ajar dapat lebih sering melakukan evaluasi sehingga mendapat umpan balik dari proses belajar sekaligus mengurangi beban pengajar sebagai fasilitator proses pembelajaran. Penelitian sebelumnya telah berhasil melakukan Ekstraksi informasi dari naskah teks dalam Bahasa Indonesia dan kemudian memetakan menjadi peta konsep pikiran (mind-map). Penelitian terkait juga telah mengembangkan teknologi untuk sistem tanya-jawab berdasarkan korpus teks Bahasa Indonesia. Oleh sebab itu Penelitian ini berperan memetakan informasi yang diekstrak dari naskah teks menjadi pertanyaan-pertanyaan yang pemeriksaan jawabannya dapat juga diotomatisasi.Keluaran yang ingin didapat dari penelitian ini adalah perangkat lunak yang terintegrasi dengan sistem pembelajaran digital yang sudah ada. Adapun metode pembangkitan ini akan dapat menyempurnakan teknologi yang sudah dikembangkan sebelumnya menjadi sebuah karya yang layak didaftarkan sebagai paten untuk kemudian dapat dipasarkan secara luas di institusi-institusi pendidikan di Indonesia.,intelligent system
"Pemodelan Struktur Metadata IRySS (Intelligent Repository Storage System) - Kasus Komponen Dasar Doman Independen IRySS Tantangan masa kini dalam pengelolaan basisdata adalah bagaimana memaknai setiap data dan informasi yang disimpan dalam basis data sehingga unsur makna sintaktik dan semantik dapat terdefinisi dengan baik dan lengkap. Pemaknaan semantik yang dimaksud meliputi  interpretasi utuh dari data dan informasi yang dalam waktu bersamaan memiliki makna sintaktik tertentu.Pada tahun 2009 sampai 2010 dalam proses penelitian KK Rekayasa Perangkat Lunak dan Data  dihasilkan model arsitektur bagi penampilan data dan informasi yang mempunyai makna sintaktik dan semantik yang memperhatikan aspek dinamisasi berinteligensia dan disebut Arsitektur IRySS (Intelligent Repository Storage System). Model yang didapat saat itu baru dapat mencerminkan konsep lapisan komponen yang mewakili data fisik, domain spesifik , domain independen   dan aplikasi. Kesemuanya itu pada masing-masing lapisan masih memerlukan kajian, eksplorasi mendalam dan rinci mengenai apa, mengapa dan bagaimana pemaknaan dituangkan.Untuk itu sebagai langkah lanjutan perlu disusun dan dirancang satu model penstrukturan data yang dapat memaknai model IRySS secara lebih luas dan general, dikenal dengan struktur metadata yang dapat menangani semua aspek pendefinisian, pembentukan, pengelolaan, pengkasesan dari data tersebut. Penelitian IRySS merupakan salah satu penelitian unggulan KK, karena besarnya dampak yang akan didapat jika model IRySS  berhasil menangani masalah pengintegrasian data yang beragam, mengelola perpaduan pengintegrasian format data, menangani pemodelan data, pencarian dan pengkasesan  dan memberikan spesifikasi ontologi sehingg  dapat memberikan makna data sintaktik dan semantik secara dinamis.Khusus untuk penelitian ini, pembentukan struktur metadata IRySS akan fokus pada beberapa komponen dari domain independen  IRySS yang dapat diidentifikasi sebagai komponen dasar. Contoh komponen dasar dimaksud dalam domain independen adalah komponen pemodelan data, retrieval, searching, ontologi umum serta format integrator.  Sedangkan dari domain spesifik komponen - faktor komponen domain ontology , metoda acquisition dan visualisasi komponen menjadi bagian yang akan dieksplore dalam pengembangan model strukrut metadata IRySS.",information management
"Digital Course-Content Creator Penelitian ini bertujuan untuk menghasilkan alat bantu (berbentuk perangkat lunak) yang dapat digunakan oleh para guru sekolah dasar untuk menyiapkan materi pelajaran dalam bentuk digital (digital course-content creator). Materi digital tersebut dapat berbasis teks, gambar, animasi, video, atau audio. Alat bantu ini akan memanfaatkan berbagai freeware yang sudah ada. Akan tetapi, freeware tersebut akan dikemas sedemikian rupa sehingga lebih terintegrasi dan mudah digunakan.Alat bantu ini perlu dibuat agar para guru yang belum terbiasa mengembangkan materi pelajaran digital dapat dengan mudah melakukannya, karena dibantu dengan alat bantu yang mudah digunakan. Alat bantu harus dapat digunakan dengan mudah di daerah rural (pedesaan), karena sebagian besar guru-guru sekolah dasar yang menjadi target pengguna alat bantu ini berada di pedesaan, yang memiliki karakteristik khusus dalam hal ketersediaan infrastruktur TIK.Metode yang digunakan untuk membangun alat bantu ini adalah melakukan kajian literatur terkait, mendefinisikan spesifikasi kebutuhan alat bantu, eksplorasi berbagai alat bantu yang mungkin telah tersedia, merancang alat bantu sebagai sebuah PSS (product-service system) berdasarkan spesifikasi kebutuhan, melakukan konstruksi PSS, sertia ujicoba dan evaluasi penggunaan alat bantu di sejumlah sekolah dasar.",software engineering
